True SPO,Unamb SPO,MSE,Elapsed,Epochs
0.0794359370923653,0.07943603805607449,1.2980187959671021,23.490689516067505,20.0
0.06415201515088058,0.06415275308668962,1.3233560290336608,21.46220850944519,20.0
0.09433295882310368,0.09433317245082186,1.2831173000335694,21.927072048187256,20.0
0.07998399686080668,0.07998417317060105,1.298820372581482,21.41175937652588,20.0
0.0897496373406524,0.08974977632375648,1.2989080047607422,21.73585033416748,20.0
0.08479768323106067,0.0847984339390253,1.3651685752868652,21.324086904525757,20.0
0.07641084423987084,0.07641124902523454,1.3347018184661865,21.534769773483276,20.0
0.07179220926783537,0.0717923939057724,1.230300844192505,21.17278742790222,20.0
0.07209376387801535,0.07209396753894828,1.3018576288223267,21.27486491203308,20.0
0.07062887575876314,0.07062898783590264,1.3443867111206054,21.130218267440796,20.0
